 Destination Port, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Label
1034,18,1,1,6,6,6,6,6,0,6,6,6,0,666666.6667,111111.1111,18,0,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,55555.55556,55555.55556,6,6,6,0,0,0,0,0,0,1,0,0,0,1,9,6,6,20,0,0,0,0,0,0,1,6,1,6,2053,251,0,20,0,0,0,0,0,0,0,0,BENIGN
88,867,9,6,3160,3060,1565,0,351.1111111,688.2149818,1524,0,510,785.445606,7174163.783,17301.03806,61.92857143,166.4611132,636,1,867,108.375,257.5898942,743,1,839,167.8,264.224715,636,3,0,0,0,0,204,144,10380.62284,6920.415225,0,1565,388.75,689.2425311,475055.2667,0,0,0,1,0,0,0,0,0,414.6666667,351.1111111,510,204,0,0,0,0,0,0,9,3160,6,3060,8192,2053,7,20,0,0,0,0,0,0,0,0,BENIGN
389,4315,13,13,4160,5724,1672,0,320,612.9740343,2634,0,440.3076923,817.3089363,2290614.137,6025.492468,172.6,454.387133,2216,1,4315,359.5833333,688.5191564,2216,3,4222,351.8333333,659.5044742,2301,1,0,0,0,0,284,284,3012.746234,3012.746234,0,2634,366.0740741,700.494821,490692.9943,0,0,0,1,0,0,0,0,1,380.1538462,320,440.3076923,284,0,0,0,0,0,0,13,4160,13,5724,8192,0,11,20,0,0,0,0,0,0,0,0,BENIGN
135,26393515,11,6,686,752,168,0,62.36363636,80.65143858,268,0,125.3333333,120.6029298,54.48308041,0.644097613,1649594.688,6544950.018,26200000,1,26400000,2639351.5,8275952.256,26200000,3,1168,233.6,325.6421349,698,4,0,0,0,0,244,144,0.416769043,0.227328569,0,268,79.88888889,96.99113901,9407.281046,0,0,0,1,0,0,0,0,0,84.58823529,62.36363636,125.3333333,244,0,0,0,0,0,0,11,686,6,752,8192,2052,9,20,0,0,0,0,0,0,0,0,BENIGN
49671,26391938,21,14,3720,2672,936,0,177.1428571,268.1367721,952,0,190.8571429,324.9593719,242.1951734,1.326162558,776233.4706,4314150.373,25200000,1,26400000,1319596.9,5618823.369,25200000,1,1002034,77079.53846,277226.8942,999746,3,0,0,0,0,444,304,0.795697535,0.530465023,0,952,177.5555556,285.0932123,81278.13968,0,0,0,1,0,0,0,0,0,182.6285714,177.1428571,190.8571429,444,0,0,0,0,0,0,21,3720,14,2672,8192,2053,19,20,0,0,0,0,0,0,0,0,BENIGN
137,93069427,20,20,1180,1180,68,50,59,9.233805169,62,56,59,3.077935056,25.35741409,0.42978668,2386395.564,9205495.832,50800000,3,93100000,4898383.789,12900000,50800000,3,93100000,4898379,12900000,50800000,3,0,0,0,0,472,472,0.21489334,0.21489334,50,68,59.2195122,6.853875528,46.97560976,0,0,0,0,0,0,0,0,1,60.7,59,59,472,0,0,0,0,0,0,20,1180,20,1180,-1,-1,19,20,6703502,7341592.724,11900000,1512212,39800000,15500000,50800000,28900000,BENIGN
53,245,2,2,162,262,81,81,81,0,131,131,131,0,1730612.245,16326.53061,81.66666667,134.5226127,237,4,4,4,0,4,4,4,4,0,4,4,0,0,0,0,64,64,8163.265306,8163.265306,81,131,101,27.38612788,750,0,0,0,0,0,0,0,0,1,126.25,81,131,64,0,0,0,0,0,0,2,162,2,262,-1,-1,1,32,0,0,0,0,0,0,0,0,BENIGN
53,184,2,2,64,96,32,32,32,0,48,48,48,0,869565.2174,21739.13043,61.33333333,21.36195996,86,49,49,49,0,49,49,49,49,0,49,49,0,0,0,0,64,64,10869.56522,10869.56522,32,48,38.4,8.76356092,76.8,0,0,0,0,0,0,0,0,1,48,32,48,64,0,0,0,0,0,0,2,64,2,96,-1,-1,1,32,0,0,0,0,0,0,0,0,BENIGN
53,225,2,2,162,262,81,81,81,0,131,131,131,0,1884444.444,17777.77778,75,46.7653718,129,48,48,48,0,48,48,48,48,0,48,48,0,0,0,0,64,64,8888.888889,8888.888889,81,131,101,27.38612788,750,0,0,0,0,0,0,0,0,1,126.25,81,131,64,0,0,0,0,0,0,2,162,2,262,-1,-1,1,32,0,0,0,0,0,0,0,0,BENIGN
53,198,2,2,142,242,71,71,71,0,121,121,121,0,1939393.939,20202.0202,66,108.2543302,191,3,3,3,0,3,3,4,4,0,4,4,0,0,0,0,40,40,10101.0101,10101.0101,71,121,91,27.38612788,750,0,0,0,0,0,0,0,0,1,113.75,71,121,40,0,0,0,0,0,0,2,142,2,242,-1,-1,1,20,0,0,0,0,0,0,0,0,BENIGN
445,10882111,25,20,7506,2420,3072,0,300.24,709.1443365,260,0,121,106.6869498,912.139198,4.135227071,247320.7045,1596215.558,10600000,1,10900000,453421.2917,2160084.552,10600000,1,10900000,572731.5789,2477761.691,10800000,1,0,0,0,0,524,424,2.297348373,1.837878698,0,3072,215.7826087,531.0383921,282001.7739,0,0,0,1,0,0,0,0,0,220.5777778,300.24,121,524,0,0,0,0,0,0,25,7506,20,2420,8192,2051,23,20,289411,0,289411,289411,10600000,0,10600000,10600000,BENIGN
389,152,2,2,328,326,164,164,164,0,163,163,163,0,4302631.579,26315.78947,50.66666667,48.05552344,100,4,4,4,0,4,4,48,48,0,48,48,0,0,0,0,64,64,13157.89474,13157.89474,163,164,163.6,0.547722558,0.3,0,0,0,0,0,0,0,0,1,204.5,164,163,64,0,0,0,0,0,0,2,328,2,326,-1,-1,1,32,0,0,0,0,0,0,0,0,BENIGN
389,173,2,2,414,326,207,207,207,0,163,163,163,0,4277456.647,23121.38728,57.66666667,16.74315781,77,48,48,48,0,48,48,48,48,0,48,48,0,0,0,0,64,64,11560.69364,11560.69364,163,207,189.4,24.09979253,580.8,0,0,0,0,0,0,0,0,1,236.75,207,163,64,0,0,0,0,0,0,2,414,2,326,-1,-1,1,32,0,0,0,0,0,0,0,0,BENIGN
88,40,1,4,6,24,6,6,6,0,6,6,6,0,750000,125000,10,17.3397424,36,1,0,0,0,0,0,4,1.333333333,0.577350269,2,1,0,0,0,0,20,80,25000,100000,6,6,6,0,0,0,0,0,0,1,1,0,0,4,7.2,6,6,20,0,0,0,0,0,0,1,6,4,24,256,0,0,20,0,0,0,0,0,0,0,0,BENIGN
88,80,1,4,6,24,6,6,6,0,6,6,6,0,375000,62500,20,32.88363321,69,1,0,0,0,0,0,71,23.66666667,39.2598183,69,1,0,0,0,0,20,80,12500,50000,6,6,6,0,0,0,0,0,0,1,1,0,0,4,7.2,6,6,20,0,0,0,0,0,0,1,6,4,24,256,0,0,20,0,0,0,0,0,0,0,0,BENIGN
1031,2,3,0,18,0,6,6,6,0,0,0,0,0,9000000,1500000,1,0,1,1,2,1,0,1,1,0,0,0,0,0,0,0,0,0,60,0,1500000,0,6,6,6,0,0,0,0,0,0,1,0,0,0,0,8,6,0,60,0,0,0,0,0,0,3,18,0,0,2053,-1,2,20,0,0,0,0,0,0,0,0,BENIGN
1034,2,3,0,18,0,6,6,6,0,0,0,0,0,9000000,1500000,1,0,1,1,2,1,0,1,1,0,0,0,0,0,0,0,0,0,60,0,1500000,0,6,6,6,0,0,0,0,0,0,1,0,0,0,0,8,6,0,60,0,0,0,0,0,0,3,18,0,0,2053,-1,2,20,0,0,0,0,0,0,0,0,BENIGN
88,38,1,4,6,24,6,6,6,0,6,6,6,0,789473.6842,131578.9474,9.5,17,35,1,0,0,0,0,0,3,1,0,1,1,0,0,0,0,20,80,26315.78947,105263.1579,6,6,6,0,0,0,0,0,0,1,1,0,0,4,7.2,6,6,20,0,0,0,0,0,0,1,6,4,24,256,0,0,20,0,0,0,0,0,0,0,0,BENIGN
53,145,2,2,64,96,32,32,32,0,48,48,48,0,1103448.276,27586.2069,48.33333333,76.7875858,137,4,4,4,0,4,4,4,4,0,4,4,0,0,0,0,64,64,13793.10345,13793.10345,32,48,38.4,8.76356092,76.8,0,0,0,0,0,0,0,0,1,48,32,48,64,0,0,0,0,0,0,2,64,2,96,-1,-1,1,32,0,0,0,0,0,0,0,0,BENIGN
389,121,2,2,328,326,164,164,164,0,163,163,163,0,5404958.678,33057.85124,40.33333333,63.79916405,114,3,4,4,0,4,4,3,3,0,3,3,0,0,0,0,40,40,16528.92562,16528.92562,163,164,163.6,0.547722558,0.3,0,0,0,0,0,0,0,0,1,204.5,164,163,40,0,0,0,0,0,0,2,328,2,326,-1,-1,1,20,0,0,0,0,0,0,0,0,BENIGN
138,102133850,48,0,10368,0,216,216,216,0,0,0,0,0,101.5138468,0.469971513,2173060.638,11300000,71700000,1,102000000,2173060.638,11300000,71700000,1,0,0,0,0,0,0,0,0,0,1152,0,0.469971513,0,216,216,216,0,0,0,0,0,0,0,0,0,0,0,220.5,216,0,1152,0,0,0,0,0,0,48,10368,0,0,-1,-1,47,0,19508.5,27500.08983,38954,63,51000000,29300000,71700000,30400000,BENIGN
138,23719992,46,0,10373,0,237,214,225.5,11.62707568,0,0,0,0,437.3104342,1.939292391,527110.9333,3535956.354,23700000,1,23700000,527110.9333,3535956.354,23700000,1,0,0,0,0,0,0,0,0,0,888,0,1.939292391,0,214,237,225.7446809,11.62169651,135.0638298,0,0,0,0,0,0,0,0,0,230.6521739,225.5,0,888,0,0,0,0,0,0,46,10373,0,0,-1,-1,45,0,38,0,38,38,23700000,0,23700000,23700000,BENIGN
137,34758082,460,0,31280,0,68,68,68,0,0,0,0,0,899.9345821,13.23433209,75725.66885,1246244.871,26400000,1,34800000,75725.66885,1246244.871,26400000,1,0,0,0,0,0,0,0,0,0,9820,0,13.23433209,0,68,68,68,0,0,0,0,0,0,0,0,0,0,0,68.14782609,68,0,9820,0,0,0,0,0,0,460,31280,0,0,-1,-1,459,0,4003094,0,4003094,4003094,26400000,0,26400000,26400000,BENIGN
137,30392250,32,30,2040,1860,68,0,63.75,16.72355881,62,62,62,0,128.3221874,2.039993748,498233.6066,3886207.071,30400000,0,30400000,980391.3548,5451343.621,30400000,0,30400000,1048002.552,5636157.925,30400000,0,0,0,0,0,704,640,1.052899999,0.987093749,0,68,62.98412698,11.87501044,141.015873,0,0,0,0,0,0,0,0,0,64,63.75,62,704,0,0,0,0,0,0,32,2040,30,1860,-1,-1,29,0,391,0,391,391,30400000,0,30400000,30400000,BENIGN
53,250,2,2,64,96,32,32,32,0,48,48,48,0,640000,16000,83.33333333,103.4037395,200,3,3,3,0,3,3,47,47,0,47,47,0,0,0,0,64,64,8000,8000,32,48,38.4,8.76356092,76.8,0,0,0,0,0,0,0,0,1,48,32,48,64,0,0,0,0,0,0,2,64,2,96,-1,-1,1,32,0,0,0,0,0,0,0,0,BENIGN
53,215,2,2,80,180,40,40,40,0,90,90,90,0,1209302.326,18604.65116,71.66666667,82.09953309,163,4,48,48,0,48,48,4,4,0,4,4,0,0,0,0,64,64,9302.325581,9302.325581,40,90,60,27.38612788,750,0,0,0,0,0,0,0,0,1,75,40,90,64,0,0,0,0,0,0,2,80,2,180,-1,-1,1,32,0,0,0,0,0,0,0,0,BENIGN
53,233,2,2,58,90,29,29,29,0,45,45,45,0,635193.133,17167.38197,77.66666667,50.52062285,136,48,49,49,0,49,49,48,48,0,48,48,0,0,0,0,64,64,8583.690987,8583.690987,29,45,35.4,8.76356092,76.8,0,0,0,0,0,0,0,0,1,44.25,29,45,64,0,0,0,0,0,0,2,58,2,90,-1,-1,1,32,0,0,0,0,0,0,0,0,BENIGN
0,4155641,2,0,0,0,0,0,0,0,0,0,0,0,0,0.481273527,4155641,0,4155641,4155641,4155641,4155641,0,4155641,4155641,0,0,0,0,0,0,0,0,0,0,0,0.481273527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,BENIGN
5353,91997219,388,0,37151,0,227,37,95.75,55.78532009,0,0,0,0,403.8274244,4.217518793,237718.9121,1511621.937,19800000,0,92000000,237718.9121,1511621.937,19800000,0,0,0,0,0,0,0,0,0,0,7756,0,4.217518793,0,37,227,95.70951157,55.7191081,3104.619007,0,0,0,0,0,0,0,0,0,95.95618557,95.75,0,7756,0,0,0,0,0,0,388,37151,0,0,-1,-1,387,0,9801663.75,11500000,24700000,16,13200000,5826904.514,19800000,5817470,BENIGN
123,66966070,6,6,288,288,48,48,48,0,48,48,48,0,8.601370814,0.179195225,6087824.545,19500000,65000000,191,66900000,13400000,28900000,65000000,23560,66900000,13400000,28900000,65000000,23604,0,0,0,0,32,32,0.089597613,0.089597613,48,48,48,0,0,0,0,0,0,0,0,0,0,1,52,48,48,32,0,0,0,0,0,0,6,288,6,288,-1,-1,5,0,1968172,0,1968172,1968172,65000000,0,65000000,65000000,BENIGN
53,119520,1,1,43,156,43,43,43,0,156,156,156,0,1664.993307,16.73360107,119520,0,119520,119520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.366800535,8.366800535,43,156,80.66666667,65.24058042,4256.333333,0,0,0,0,0,0,0,0,1,121,43,156,0,0,0,0,0,0,0,1,43,1,156,-1,-1,0,0,0,0,0,0,0,0,0,0,BENIGN
53,23527,1,1,53,106,53,53,53,0,106,106,106,0,6758.192715,85.00871339,23527,0,23527,23527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.5043567,42.5043567,53,106,70.66666667,30.59956427,936.3333333,0,0,0,0,0,0,0,0,1,106,53,106,0,0,0,0,0,0,0,1,53,1,106,-1,-1,0,0,0,0,0,0,0,0,0,0,BENIGN
53,186,2,2,88,150,44,44,44,0,75,75,75,0,1279569.892,21505.37634,62,67.4388612,136,4,46,46,0,46,46,4,4,0,4,4,0,0,0,0,0,0,10752.68817,10752.68817,44,75,56.4,16.97939928,288.3,0,0,0,0,0,0,0,0,1,70.5,44,75,0,0,0,0,0,0,0,2,88,2,150,-1,-1,1,0,0,0,0,0,0,0,0,0,BENIGN
53,183,2,2,86,240,43,43,43,0,120,120,120,0,1781420.765,21857.9235,61,99.59417654,176,3,3,3,0,3,3,4,4,0,4,4,0,0,0,0,0,0,10928.96175,10928.96175,43,120,73.8,42.17463693,1778.7,0,0,0,0,0,0,0,0,1,92.25,43,120,0,0,0,0,0,0,0,2,86,2,240,-1,-1,1,0,0,0,0,0,0,0,0,0,BENIGN
53,196,2,2,80,212,40,40,40,0,106,106,106,0,1489795.918,20408.16327,65.33333333,107.9645003,190,3,3,3,0,3,3,3,3,0,3,3,0,0,0,0,0,0,10204.08163,10204.08163,40,106,66.4,36.1496888,1306.8,0,0,0,0,0,0,0,0,1,83,40,106,0,0,0,0,0,0,0,2,80,2,212,-1,-1,1,0,0,0,0,0,0,0,0,0,BENIGN
123,94635,4,4,192,192,48,48,48,0,48,48,48,0,4057.695356,84.53531991,13519.28571,12348.83269,23524,314,71111,23703.66667,72.45918391,23785,23646,71172,23724,100.1798383,23838,23650,0,0,0,0,0,0,42.26765996,42.26765996,48,48,48,0,0,0,0,0,0,0,0,0,0,1,54,48,48,0,0,0,0,0,0,0,4,192,4,192,-1,-1,3,0,0,0,0,0,0,0,0,0,BENIGN
53,119991,2,2,64,290,32,32,32,0,145,145,145,0,2950.221267,33.33583352,39997,69232.67251,119940,3,48,48,0,48,48,3,3,0,3,3,0,0,0,0,0,0,16.66791676,16.66791676,32,145,77.2,61.892649,3830.7,0,0,0,0,0,0,0,0,1,96.5,32,145,0,0,0,0,0,0,0,2,64,2,290,-1,-1,1,0,0,0,0,0,0,0,0,0,BENIGN
53,600,2,2,252,252,126,126,126,0,126,126,126,0,840000,6666.666667,200,340.348351,593,3,3,3,0,3,3,4,4,0,4,4,0,0,0,0,0,0,3333.333333,3333.333333,126,126,126,0,0,0,0,0,0,0,0,0,0,1,157.5,126,126,0,0,0,0,0,0,0,2,252,2,252,-1,-1,1,0,0,0,0,0,0,0,0,0,BENIGN
53,24013,2,2,84,190,42,42,42,0,95,95,95,0,11410.48599,166.5764378,8004.333333,13819.76303,23962,3,48,48,0,48,48,3,3,0,3,3,0,0,0,0,0,0,83.28821888,83.28821888,42,95,63.2,29.02929555,842.7,0,0,0,0,0,0,0,0,1,79,42,95,0,0,0,0,0,0,0,2,84,2,190,-1,-1,1,0,0,0,0,0,0,0,0,0,BENIGN
53,195,2,2,108,230,54,54,54,0,115,115,115,0,1733333.333,20512.82051,65,72.69112738,145,3,47,47,0,47,47,3,3,0,3,3,0,0,0,0,0,0,10256.41026,10256.41026,54,115,78.4,33.41107601,1116.3,0,0,0,0,0,0,0,0,1,98,54,115,0,0,0,0,0,0,0,2,108,2,230,-1,-1,1,0,0,0,0,0,0,0,0,0,BENIGN
53,735,2,2,206,206,103,103,103,0,103,103,103,0,560544.2177,5442.176871,245,418.2905689,728,3,3,3,0,3,3,4,4,0,4,4,0,0,0,0,0,0,2721.088435,2721.088435,103,103,103,0,0,0,0,0,0,0,0,0,0,1,128.75,103,103,0,0,0,0,0,0,0,2,206,2,206,-1,-1,1,0,0,0,0,0,0,0,0,0,BENIGN
123,114254,4,4,192,192,48,48,48,0,48,48,48,0,3360.932659,70.01943039,16322,15020.99748,28399,167,85888,28629.33333,74.89548273,28712,28566,85954,28651.33333,102.5394233,28714,28533,0,0,0,0,0,0,35.0097152,35.0097152,48,48,48,0,0,0,0,0,0,0,0,0,0,1,54,48,48,0,0,0,0,0,0,0,4,192,4,192,-1,-1,3,0,0,0,0,0,0,0,0,0,BENIGN
123,114602,4,4,192,192,48,48,48,0,48,48,48,0,3350.726863,69.80680965,16371.71429,15044.28399,28603,277,86163,28721,148.838839,28880,28585,85999,28666.33333,89.0299575,28732,28565,0,0,0,0,0,0,34.90340483,34.90340483,48,48,48,0,0,0,0,0,0,0,0,0,0,1,54,48,48,0,0,0,0,0,0,0,4,192,4,192,-1,-1,3,0,0,0,0,0,0,0,0,0,BENIGN
123,139284,4,4,192,192,48,48,48,0,48,48,48,0,2756.957009,57.43660435,19897.71429,18407.58864,34843,83,104738,34912.66667,283.9037396,35132,34592,104441,34813.66667,194.1039241,35016,34629,0,0,0,0,0,0,28.71830217,28.71830217,48,48,48,0,0,0,0,0,0,0,0,0,0,1,54,48,48,0,0,0,0,0,0,0,4,192,4,192,-1,-1,3,0,0,0,0,0,0,0,0,0,BENIGN
5355,416932,22,0,616,0,28,28,28,0,0,0,0,0,1477.459154,52.76639836,19853.90476,90965.98295,416862,0,416932,19853.90476,90965.98295,416862,0,0,0,0,0,0,0,0,0,0,110,0,52.76639836,0,28,28,28,0,0,0,0,0,0,0,0,0,0,0,29.27272727,28,0,110,0,0,0,0,0,0,22,616,0,0,-1,-1,21,0,0,0,0,0,0,0,0,0,BENIGN
0,98241768,7,0,0,0,0,0,0,0,0,0,0,0,0,0.071252789,16400000,39800000,97700000,139,98200000,16400000,39800000,97700000,139,0,0,0,0,0,0,0,0,0,0,0,0.071252789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,-1,-1,0,0,255640,0,255640,255640,97700000,0,97700000,97700000,BENIGN
53,5278273,6,6,204,570,34,34,34,0,95,95,95,0,146.6388722,2.273470887,479843,631899.5192,1803774,3,2117865,423573,582219.9634,1130809,3,2704477,540895.4,806537.2519,1803774,3,0,0,0,0,120,120,1.136735444,1.136735444,34,95,62.15384615,31.65134582,1001.807692,0,0,0,0,0,0,0,0,1,67.33333333,34,95,120,0,0,0,0,0,0,6,204,6,570,-1,-1,5,20,0,0,0,0,0,0,0,0,BENIGN
88,512,7,4,484,414,233,0,69.14285714,111.9678951,207,0,103.5,119.5115057,1753906.25,21484.375,51.2,102.0498789,337,1,512,85.33333333,138.0458861,363,1,414,138,232.0948082,406,4,0,0,0,0,164,104,13671.875,7812.5,0,233,74.83333333,107.5274454,11562.15152,0,0,0,1,0,0,0,0,0,81.63636364,69.14285714,103.5,164,0,0,0,0,0,0,7,484,4,414,8192,2053,5,20,0,0,0,0,0,0,0,0,BENIGN
49415,7,3,1,18,6,6,6,6,0,6,6,6,0,3428571.429,571428.5714,2.333333333,2.516611478,5,0,2,1,1.414213562,2,0,0,0,0,0,0,0,0,0,0,60,20,428571.4286,142857.1429,6,6,6,0,0,0,0,0,0,1,0,0,0,0,7.5,6,6,60,0,0,0,0,0,0,3,18,1,6,2053,255,2,20,0,0,0,0,0,0,0,0,BENIGN
